episode,score,length,rewards,noop,fire,right,left,right-fire,left-fire,model
1,540,1379,33,0.00611620795107034,0.0886850152905199,0.128440366972477,0.0795107033639144,0.345565749235474,0.351681957186544,agent1
2,565,1067,33,0.00392156862745098,0.149019607843137,0.117647058823529,0.0156862745098039,0.333333333333333,0.380392156862745,agent1
3,545,1169,33,0,0.0763636363636364,0.203636363636364,0.0545454545454545,0.250909090909091,0.414545454545455,agent1
4,570,1426,34,0.0386904761904762,0.0982142857142857,0.0833333333333333,0.125,0.25297619047619,0.401785714285714,agent1
5,545,1303,50,0.0132013201320132,0.0924092409240924,0.181518151815182,0.0561056105610561,0.323432343234323,0.333333333333333,agent1
6,540,936,31,0.0135135135135135,0.144144144144144,0.108108108108108,0.0585585585585586,0.31981981981982,0.355855855855856,agent1
7,715,1315,33,0.00327868852459016,0.0688524590163935,0.177049180327869,0.019672131147541,0.327868852459016,0.40327868852459,agent1
8,605,1426,35,0.0269461077844311,0.179640718562874,0.0958083832335329,0.0748502994011976,0.293413173652695,0.329341317365269,agent1
9,630,1287,36,0.0493421052631579,0.108552631578947,0.0789473684210526,0.105263157894737,0.269736842105263,0.388157894736842,agent1
10,490,1346,31,0.00626959247648903,0.115987460815047,0.191222570532915,0.0470219435736677,0.269592476489028,0.369905956112853,agent1
11,600,1321,35,0.0313479623824451,0.238244514106583,0.0532915360501567,0.13166144200627,0.25705329153605,0.288401253918495,agent2
12,895,1744,56,0.0168674698795181,0.2,0.11566265060241,0.0385542168674699,0.265060240963855,0.363855421686747,agent2
13,800,1478,36,0.0169491525423729,0.172316384180791,0.0988700564971751,0.101694915254237,0.257062146892655,0.353107344632768,agent2
14,1250,2027,64,0.0123456790123457,0.181069958847737,0.0596707818930041,0.051440329218107,0.320987654320988,0.374485596707819,agent2
15,690,1145,32,0.037593984962406,0.263157894736842,0.105263157894737,0.0676691729323308,0.236842105263158,0.289473684210526,agent2
16,575,1353,34,0.035031847133758,0.168789808917197,0.0732484076433121,0.24203821656051,0.232484076433121,0.248407643312102,agent2
17,555,1215,33,0.0140350877192982,0.210526315789474,0.0456140350877193,0.112280701754386,0.301754385964912,0.31578947368421,agent2
18,765,1774,50,0.0381861575178998,0.155131264916468,0.0906921241050119,0.105011933174224,0.257756563245823,0.353221957040573,agent2
19,715,1657,43,0.0202020202020202,0.252525252525252,0.053030303030303,0.0808080808080808,0.227272727272727,0.366161616161616,agent2
20,845,1286,31,0.0166666666666667,0.153333333333333,0.0566666666666667,0.136666666666667,0.31,0.326666666666667,agent2
21,575,1344,34,0.19811320754717,0.213836477987421,0.0974842767295598,0.122641509433962,0.141509433962264,0.226415094339623,agent3
22,665,1145,31,0.285714285714286,0.236842105263158,0.0338345864661654,0.0451127819548872,0.191729323308271,0.206766917293233,agent3
23,405,1024,27,0.392405063291139,0.19831223628692,0.0759493670886076,0.0590717299578059,0.177215189873418,0.0970464135021097,agent3
24,625,1017,29,0.31140350877193,0.223684210526316,0.0307017543859649,0.0219298245614035,0.219298245614035,0.192982456140351,agent3
25,195,865,17,0.350253807106599,0.16243654822335,0.0913705583756345,0.0203045685279188,0.208121827411167,0.16751269035533,agent3
26,600,1216,35,0.268707482993197,0.23469387755102,0.0748299319727891,0.139455782312925,0.136054421768707,0.146258503401361,agent3
27,455,1574,29,0.400537634408602,0.139784946236559,0.118279569892473,0.0967741935483871,0.120967741935484,0.123655913978495,agent3
28,435,1188,28,0.266187050359712,0.197841726618705,0.122302158273381,0.0323741007194245,0.18705035971223,0.194244604316547,agent3
29,840,1755,52,0.203349282296651,0.220095693779904,0.0861244019138756,0.0382775119617225,0.188995215311005,0.263157894736842,agent3
30,270,860,20,0.335051546391753,0.190721649484536,0.11340206185567,0.0154639175257732,0.231958762886598,0.11340206185567,agent3
